#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
PP983262.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH006,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,909,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH006 gag protein gene, partial cds"
PP983263.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH007,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH007 gag protein gene, partial cds"
PP983264.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH009,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH009 gag protein gene, partial cds"
PP983265.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH010,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH010 gag protein gene, partial cds"
PP983266.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH014,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH014 gag protein gene, partial cds"
PP983267.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH015,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH015 gag protein gene, partial cds"
PP983268.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH017,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH017 gag protein gene, partial cds"
PP983269.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH018,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,909,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH018 gag protein gene, partial cds"
PP983270.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH019,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,885,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH019 gag protein gene, partial cds"
PP983271.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH021,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH021 gag protein gene, partial cds"
PP983272.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH022,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH022 gag protein gene, partial cds"
PP983273.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH023,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH023 gag protein gene, partial cds"
PP983274.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH024,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,912,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH024 gag protein gene, partial cds"
PP983275.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH025,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH025 gag protein gene, partial cds"
PP983276.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH026,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH026 gag protein gene, partial cds"
PP983277.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH027,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,927,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH027 gag protein gene, partial cds"
PP983278.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH028,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH028 gag protein gene, partial cds"
PP983279.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH030,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH030 gag protein gene, partial cds"
PP983280.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH031,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,912,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH031 gag protein gene, partial cds"
PP983281.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH032,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH032 gag protein gene, partial cds"
PP983282.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH033,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,906,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH033 gag protein gene, partial cds"
PP983283.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH035,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,927,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH035 gag protein gene, partial cds"
PP983284.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH036,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,936,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH036 gag protein gene, partial cds"
PP983285.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH038,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH038 gag protein gene, partial cds"
PP983286.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH039,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,951,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH039 gag protein gene, partial cds"
PP983287.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH040,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,942,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH040 gag protein gene, partial cds"
PP983288.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH041,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH041 gag protein gene, partial cds"
PP983289.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH042,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH042 gag protein gene, partial cds"
PP983290.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH043,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,906,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH043 gag protein gene, partial cds"
PP983291.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH044,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH044 gag protein gene, partial cds"
PP983292.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH045,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH045 gag protein gene, partial cds"
PP983293.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH047,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH047 gag protein gene, partial cds"
PP983294.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH048,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,927,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH048 gag protein gene, partial cds"
PP983295.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH050,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH050 gag protein gene, partial cds"
PP983296.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH051,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH051 gag protein gene, partial cds"
PP983297.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH055,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,900,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH055 gag protein gene, partial cds"
PP983298.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH056,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH056 gag protein gene, partial cds"
PP983299.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH058,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH058 gag protein gene, partial cds"
PP983300.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH059,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,843,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH059 gag protein gene, partial cds"
PP983301.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH060,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH060 gag protein gene, partial cds"
PP983302.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH061,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH061 gag protein gene, partial cds"
PP983303.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH065,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH065 gag protein gene, partial cds"
PP983304.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH069,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,924,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH069 gag protein gene, partial cds"
PP983305.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH071,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH071 gag protein gene, partial cds"
PP983306.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH072,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,915,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH072 gag protein gene, partial cds"
PP983307.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH073,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,912,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH073 gag protein gene, partial cds"
PP983308.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH074,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH074 gag protein gene, partial cds"
PP983309.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH075,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH075 gag protein gene, partial cds"
PP983310.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH080,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,918,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH080 gag protein gene, partial cds"
PP983311.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH082,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,942,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH082 gag protein gene, partial cds"
PP983312.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH083,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,942,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH083 gag protein gene, partial cds"
