#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OR134768.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,M81,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,170964,GenBank,complete,,,,China,,Homo sapiens,,2012-04-04,,"Human gammaherpesvirus 4 isolate M81, complete genome"
OR134769.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,NPC43,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,173200,GenBank,complete,,,,China,,Homo sapiens,,2019-02-25,,"Human gammaherpesvirus 4 isolate NPC43, complete genome"
OR134770.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,Raji,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,171437,GenBank,complete,,,,Nigeria,,Homo sapiens,,2012-04-04,,"Human gammaherpesvirus 4 isolate Raji, complete genome"
OR134771.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,SNU-719,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,169424,GenBank,complete,,,,South Korea,,Homo sapiens,,2012-04-04,,"Human gammaherpesvirus 4 isolate SNU-719, complete genome"
OR134772.1,,"Liu,J., Che,H., Sia,Y.Y.",2025-07-17,,YCC-10,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,dsDNA,176176,GenBank,complete,,,,South Korea,,Homo sapiens,,2012-06-06,,"Human gammaherpesvirus 4 isolate YCC-10, complete genome"
PP768312.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW500_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,137093,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2020-01-13,,"Human gammaherpesvirus 8 isolate UTSW500_US, partial genome"
PP768313.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW535_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,135740,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2020-02-06,,"Human gammaherpesvirus 8 isolate UTSW535_US, partial genome"
PP768314.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW547_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138593,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2020-03-12,,"Human gammaherpesvirus 8 isolate UTSW547_US, partial genome"
PP768315.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW557_SV,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138564,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2020-12-07,,"Human gammaherpesvirus 8 isolate UTSW557_SV, partial genome"
PP768316.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW560_MX,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138306,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2020-12-14,,"Human gammaherpesvirus 8 isolate UTSW560_MX, partial genome"
PP768317.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW571_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138533,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-01-07,,"Human gammaherpesvirus 8 isolate UTSW571_US, partial genome"
PP768318.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW575_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138565,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-01-15,,"Human gammaherpesvirus 8 isolate UTSW575_US, partial genome"
PP768319.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW605_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138548,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-02-24,,"Human gammaherpesvirus 8 isolate UTSW605_US, partial genome"
PP768320.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW607_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138503,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-02-25,,"Human gammaherpesvirus 8 isolate UTSW607_US, partial genome"
PP768321.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW624_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138262,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-03-16,,"Human gammaherpesvirus 8 isolate UTSW624_US, partial genome"
PP768322.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW646_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,138410,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-04-01,,"Human gammaherpesvirus 8 isolate UTSW646_US, partial genome"
PP768323.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW657_MX,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,136460,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-04-14,,"Human gammaherpesvirus 8 isolate UTSW657_MX, partial genome"
PP768324.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW101_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,137088,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022,,"Human gammaherpesvirus 8 isolate UTSW101_US, partial genome"
PP768325.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW105_MX,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,137076,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-10-05,,"Human gammaherpesvirus 8 isolate UTSW105_MX, partial genome"
PP768326.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW113_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,135317,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-10-28,,"Human gammaherpesvirus 8 isolate UTSW113_US, partial genome"
PP768327.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW118_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,136063,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-11-10,,"Human gammaherpesvirus 8 isolate UTSW118_US, partial genome"
PP768328.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW119_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,136835,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-11-10,,"Human gammaherpesvirus 8 isolate UTSW119_US, partial genome"
PP768329.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW130_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,135538,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-12-12,,"Human gammaherpesvirus 8 isolate UTSW130_US, partial genome"
PP768330.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW137_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,135785,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2023-01-05,,"Human gammaherpesvirus 8 isolate UTSW137_US, partial genome"
PP768331.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW139_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,135856,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2023-01-12,,"Human gammaherpesvirus 8 isolate UTSW139_US, partial genome"
PP768332.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW141_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,136796,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2023-01-20,,"Human gammaherpesvirus 8 isolate UTSW141_US, partial genome"
PP768333.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-30,,UTSW144_MX,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,135131,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2023-01-26,,"Human gammaherpesvirus 8 isolate UTSW144_MX, partial genome"
PP789823.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW107_B1_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,344,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-10-17,,"Human gammaherpesvirus 8 isolate UTSW107_B1_US K1 protein (K1) gene, partial cds"
PP789824.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW136_A4_CM,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,736,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-12-29,,"Human gammaherpesvirus 8 isolate UTSW136_A4_CM K1 protein (K1) gene, partial cds"
PP789825.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW595_C2_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,1106,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-02-09,,"Human gammaherpesvirus 8 isolate UTSW595_C2_US K1 protein (K1) gene, complete cds"
PP789826.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW595_F2_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,1113,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-02-09,,"Human gammaherpesvirus 8 isolate UTSW595_F2_US K1 protein (K1) gene, complete cds"
PP789827.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW136_B1_CM,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,1113,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2022-12-29,,"Human gammaherpesvirus 8 isolate UTSW136_B1_CM K1 protein (K1) gene, complete cds"
PP789828.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW676_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,794,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-04-30,,"Human gammaherpesvirus 8 isolate UTSW676_US K1 protein (K1) gene, partial cds"
PP789829.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW709_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,826,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,blood,2021-06-07,,"Human gammaherpesvirus 8 isolate UTSW709_US K1 protein (K1) gene, partial cds"
PP789830.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW677_MX,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,811,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,blood,2021-05-03,,"Human gammaherpesvirus 8 isolate UTSW677_MX K1 protein (K1) gene, partial cds"
PP789831.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW707_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,810,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-06-04,,"Human gammaherpesvirus 8 isolate UTSW707_US K1 protein (K1) gene, partial cds"
PP789832.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW675_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,802,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,blood,2021-04-29,,"Human gammaherpesvirus 8 isolate UTSW675_US K1 protein (K1) gene, partial cds"
PP789833.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW621_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,803,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2020-03-12,,"Human gammaherpesvirus 8 isolate UTSW621_US K1 protein (K1) gene, partial cds"
PP789834.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW712_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,801,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-06-15,,"Human gammaherpesvirus 8 isolate UTSW712_US K1 protein (K1) gene, partial cds"
PP789835.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW679_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,801,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-05-05,,"Human gammaherpesvirus 8 isolate UTSW679_US K1 protein (K1) gene, partial cds"
PP789836.1,,"Marshall,V.A., Knights,S.M., Cornejo Castro,E.M., Labo,N., Liu,I., Miley,W.J., Moore,K.N., Goodman,C.A., Fennessey,C.M., Keele,B.F., Lazarte,S.M., Chiao,E.Y., Nijhawan,A.E., Whitby,D.",2025-06-24,,UTSW603_US,Rhadinovirus humangamma8,Rhadinovirus,Orthoherpesviridae,dsDNA,805,GenBank,partial,,,1.0,"USA: Dallas, TX",TX,Homo sapiens,oronasopharynx,2021-02-23,,"Human gammaherpesvirus 8 isolate UTSW603_US K1 protein (K1) gene, partial cds"
